# 20 x 20 grid
#loops,cffi,call_py_fort,module_loading
1,1.02891695,1.03048897,1.04261804
1,1.03905499,1.09057701,
1,1.02496994,1.070732,
1,1.04548895,1.07653904,
1,1.04473305,1.08089602,
1,1.02142096,1.06816995,
10,1.07912993,,
10,1.0809269,,
10,1.08598208,,
10,1.08525693,,
10,1.08591294,,
10,1.078493,1.077106,
50,1.28305304,1.30062306,
100,1.56364095,1.57177603,
100,1.56585896,1.58341193,
100,1.54947698,,
100,1.58697891,,
100,1.59642005,,
100,1.59642005,,
500,3.69890714,3.77356696,
1000,6.5743618,6.42538214,
1000,6.69451427,6.63811684,6.5635519
1000,6.42690277,6.670434,
1000,6.59630537,6.47435093,
1000,6.63155222,6.43735409,
1000,6.49808645,6.55751705,
2000,11.8621016,11.8660955,
2000,12.5630426,11.8422251,
2000,12.0542984,12.0880365,
2000,12.2822123,12.1632528,
2000,12.121973,12.4445543,
2000,11.9727831,12.4460173,
3000,17.8088551,17.9298687,
3000,17.7839794,17.3279533,
3000,17.1360455,18.1439877,
3000,18.5239048,17.9717846,
3000,17.7265053,18.1673546,
3000,18.0335464,18.2188892,
4000,23.4988689,24.2547684,
4000,22.7744884,22.8657646,
4000,24.3082867,23.6604004,
4000,23.8983631,23.6164989,
4000,23.3309155,24.0883694,
5000,28.3518181,28.4517689,
5000,29.4023399,29.3944416,
5000,29.0990276,28.3649445,
5000,28.0263863,29.6589146,
5000,28.5426159,29.82897,
5000,28.9128132,29.2588043,
